epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
55,2145.81,1.23481,0.60229,0.0026,0.85525,0.76471,0.86508,0.36426,2.17481,0.90219,0.00638,0.0043962,0.0014654,0.0043962,0.0014654,0.0043962,0.0014654,0.0043962,0.0014654
56,2184.47,1.2328,0.61028,0.00263,0.84112,0.8008,0.84706,0.34411,2.19752,0.93282,0.00649,0.0043665,0.0014555,0.0043665,0.0014555,0.0043665,0.0014555,0.0043665,0.0014555
57,2223,1.22475,0.57225,0.00254,0.93234,0.78992,0.88101,0.36124,2.14767,0.92652,0.00622,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456
58,2261.58,1.21785,0.56966,0.00262,0.88437,0.77127,0.82814,0.34191,2.19613,0.98375,0.00634,0.0043071,0.0014357,0.0043071,0.0014357,0.0043071,0.0014357,0.0043071,0.0014357
59,2300.36,1.2313,0.59095,0.0025,0.8732,0.81016,0.88756,0.37059,2.11081,0.93235,0.00605,0.0042774,0.0014258,0.0042774,0.0014258,0.0042774,0.0014258,0.0042774,0.0014258
60,2338.63,1.1968,0.54689,0.00249,0.90279,0.78042,0.88562,0.37939,2.07617,0.88526,0.00601,0.0042477,0.0014159,0.0042477,0.0014159,0.0042477,0.0014159,0.0042477,0.0014159
61,2377.13,1.15999,0.52957,0.00245,0.89623,0.78151,0.85986,0.36726,2.12228,0.908,0.00619,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406
62,2415.99,1.21071,0.56467,0.00249,0.83242,0.77311,0.85144,0.3648,2.13729,0.9126,0.00623,0.0041883,0.0013961,0.0041883,0.0013961,0.0041883,0.0013961,0.0041883,0.0013961
63,2454.51,1.18143,0.56844,0.00251,0.895,0.78151,0.86905,0.37438,2.1043,0.81929,0.00611,0.0041586,0.0013862,0.0041586,0.0013862,0.0041586,0.0013862,0.0041586,0.0013862
64,2493.24,1.20192,0.55609,0.00252,0.83921,0.83337,0.8579,0.37152,2.12992,0.83058,0.00611,0.0041289,0.0013763,0.0041289,0.0013763,0.0041289,0.0013763,0.0041289,0.0013763
65,2531.73,1.17979,0.55784,0.00238,0.8428,0.80672,0.87857,0.37763,2.06475,0.84097,0.00588,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664
66,2570.24,1.18433,0.57807,0.00243,0.86329,0.796,0.8701,0.38126,2.0793,0.8577,0.00589,0.0040695,0.0013565,0.0040695,0.0013565,0.0040695,0.0013565,0.0040695,0.0013565
67,2609.09,1.19204,0.54491,0.00252,0.85851,0.81581,0.85576,0.37325,2.07445,0.85345,0.00591,0.0040398,0.0013466,0.0040398,0.0013466,0.0040398,0.0013466,0.0040398,0.0013466
68,2648.03,1.07985,0.48582,0.00226,0.87954,0.7563,0.85952,0.36551,2.08755,0.97087,0.00593,0.0040101,0.0013367,0.0040101,0.0013367,0.0040101,0.0013367,0.0040101,0.0013367
69,2686.7,1.15376,0.55528,0.0024,0.90787,0.82353,0.87856,0.3773,2.13755,0.87006,0.00603,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268
70,2724.95,1.15547,0.53334,0.00235,0.90765,0.82353,0.88506,0.37984,2.0992,0.82448,0.00597,0.0039507,0.0013169,0.0039507,0.0013169,0.0039507,0.0013169,0.0039507,0.0013169
71,2763.35,1.08248,0.48944,0.00223,0.90786,0.81513,0.89031,0.35957,2.15921,0.88245,0.00611,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307
72,2801.49,1.09403,0.49187,0.00227,0.89512,0.8607,0.90315,0.36198,2.13063,0.83949,0.00613,0.0038913,0.0012971,0.0038913,0.0012971,0.0038913,0.0012971,0.0038913,0.0012971
73,2840.06,1.12509,0.52129,0.00235,0.80494,0.83226,0.8683,0.37081,2.11633,0.85395,0.00613,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872
