epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
40,357.486,1.58253,0.68101,0.00336,0.85365,0.77311,0.85975,0.32835,2.24753,0.99711,0.00632,0.00507336,0.00169112,0.00507336,0.00169112,0.00507336,0.00169112,0.00507336,0.00169112
41,366.319,1.60724,0.72437,0.00334,0.92061,0.73109,0.8597,0.336,2.22217,1.05363,0.00627,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832
42,374.999,1.55912,0.68348,0.00331,0.86579,0.81513,0.88055,0.34158,2.26718,0.8137,0.00637,0.00502584,0.00167528,0.00502584,0.00167528,0.00502584,0.00167528,0.00502584,0.00167528
43,383.895,1.58686,0.67854,0.00342,0.88125,0.81513,0.86205,0.35555,2.15636,0.90892,0.00605,0.00500208,0.00166736,0.00500208,0.00166736,0.00500208,0.00166736,0.00500208,0.00166736
44,392.706,1.60076,0.66669,0.00339,0.88829,0.80185,0.89486,0.34072,2.23764,0.79234,0.0063,0.00497832,0.00165944,0.00497832,0.00165944,0.00497832,0.00165944,0.00497832,0.00165944
45,401.619,1.54942,0.61341,0.00337,0.85975,0.72122,0.79635,0.32016,2.28892,0.90345,0.00668,0.00495456,0.00165152,0.00495456,0.00165152,0.00495456,0.00165152,0.00495456,0.00165152
46,410.473,1.57162,0.61011,0.00335,0.90897,0.75523,0.84948,0.36494,2.21707,0.87371,0.00627,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436
47,419.27,1.60097,0.72274,0.00341,0.79211,0.83247,0.84767,0.33725,2.27256,0.83659,0.00627,0.00490704,0.00163568,0.00490704,0.00163568,0.00490704,0.00163568,0.00490704,0.00163568
48,428.101,1.57631,0.66059,0.00328,0.79367,0.7435,0.76608,0.32551,2.23733,1.11421,0.00635,0.00488328,0.00162776,0.00488328,0.00162776,0.00488328,0.00162776,0.00488328,0.00162776
49,437.007,1.5555,0.63516,0.0033,0.88569,0.70588,0.81146,0.32214,2.2697,0.95922,0.00641,0.00485952,0.00161984,0.00485952,0.00161984,0.00485952,0.00161984,0.00485952,0.00161984
50,445.813,1.54297,0.65451,0.00325,0.85164,0.77185,0.82593,0.34678,2.21252,0.88074,0.00619,0.00483576,0.00161192,0.00483576,0.00161192,0.00483576,0.00161192,0.00483576,0.00161192
