epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
73,940.223,1.45456,0.76506,0.00314,0.84483,0.77311,0.85055,0.35121,2.10269,0.85506,0.00605,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872
74,952.822,1.42311,0.73404,0.00303,0.90398,0.73109,0.85913,0.36672,2.07823,0.89911,0.0059,0.0038319,0.0012773,0.0038319,0.0012773,0.0038319,0.0012773,0.0038319,0.0012773
75,965.462,1.40568,0.7468,0.00303,0.74076,0.77311,0.78692,0.34563,2.08265,0.90041,0.00601,0.0038022,0.0012674,0.0038022,0.0012674,0.0038022,0.0012674,0.0038022,0.0012674
76,978.151,1.42144,0.70987,0.00296,0.89312,0.7479,0.84175,0.35174,2.1446,0.84724,0.00614,0.0037725,0.0012575,0.0037725,0.0012575,0.0037725,0.0012575,0.0037725,0.0012575
77,990.73,1.41904,0.69528,0.00295,0.85908,0.76848,0.85042,0.35545,2.154,0.92419,0.00612,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476
78,1003.21,1.43372,0.73273,0.003,0.8778,0.72438,0.8379,0.35288,2.12391,0.96594,0.00611,0.0037131,0.0012377,0.0037131,0.0012377,0.0037131,0.0012377,0.0037131,0.0012377
79,1015.69,1.37034,0.73407,0.00289,0.82938,0.76471,0.84151,0.34441,2.13128,0.96935,0.00612,0.0036834,0.0012278,0.0036834,0.0012278,0.0036834,0.0012278,0.0036834,0.0012278
80,1028.31,1.38572,0.67277,0.00292,0.81123,0.75841,0.79154,0.3241,2.1596,0.97496,0.00628,0.0036537,0.0012179,0.0036537,0.0012179,0.0036537,0.0012179,0.0036537,0.0012179
81,1040.68,1.39823,0.66638,0.00281,0.86107,0.78124,0.85903,0.33845,2.18673,0.88686,0.00624,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
82,1053.17,1.39946,0.6869,0.00287,0.81506,0.79832,0.84935,0.34483,2.16211,0.97158,0.00618,0.0035943,0.0011981,0.0035943,0.0011981,0.0035943,0.0011981,0.0035943,0.0011981
83,1065.68,1.37635,0.71167,0.00288,0.79528,0.84877,0.86108,0.342,2.1742,0.95244,0.00622,0.0035646,0.0011882,0.0035646,0.0011882,0.0035646,0.0011882,0.0035646,0.0011882
84,1078.16,1.34566,0.66715,0.0028,0.84488,0.78992,0.84033,0.34425,2.11841,0.92337,0.00607,0.0035349,0.0011783,0.0035349,0.0011783,0.0035349,0.0011783,0.0035349,0.0011783
85,1090.71,1.3417,0.6538,0.00273,0.81629,0.78992,0.83616,0.36347,2.1607,0.82155,0.00619,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684
86,1103.05,1.36995,0.67476,0.00288,0.80288,0.77311,0.81001,0.33611,2.21268,0.9003,0.00633,0.0034755,0.0011585,0.0034755,0.0011585,0.0034755,0.0011585,0.0034755,0.0011585
87,1115.53,1.34093,0.63771,0.00278,0.85171,0.78992,0.84182,0.35378,2.16583,0.91652,0.00617,0.0034458,0.0011486,0.0034458,0.0011486,0.0034458,0.0011486,0.0034458,0.0011486
88,1127.93,1.2825,0.64186,0.00272,0.80777,0.78992,0.81798,0.33936,2.17312,0.96582,0.0062,0.0034161,0.0011387,0.0034161,0.0011387,0.0034161,0.0011387,0.0034161,0.0011387
89,1140.28,1.31501,0.64522,0.00275,0.84002,0.83193,0.85904,0.35133,2.18979,1.00513,0.00631,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288
90,1152.99,1.3475,0.65183,0.00288,0.7873,0.80875,0.81485,0.33097,2.20486,0.92041,0.00631,0.0033567,0.0011189,0.0033567,0.0011189,0.0033567,0.0011189,0.0033567,0.0011189
91,1165.5,1.31763,0.63682,0.00272,0.8004,0.74136,0.79516,0.35701,2.10356,0.98714,0.00593,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109
92,1177.95,1.3145,0.65758,0.00279,0.83686,0.7563,0.82988,0.36447,2.1114,0.99538,0.00596,0.0032973,0.0010991,0.0032973,0.0010991,0.0032973,0.0010991,0.0032973,0.0010991
93,1190.52,1.31906,0.62791,0.00271,0.85945,0.73109,0.8039,0.34676,2.15606,1.07146,0.00622,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892
94,1203.22,1.29828,0.64668,0.0027,0.78204,0.78397,0.83581,0.36478,2.15867,1.06546,0.00617,0.0032379,0.0010793,0.0032379,0.0010793,0.0032379,0.0010793,0.0032379,0.0010793
