p_low,p_high,w_tier5,w_tier3,tau_vote,f1,recall,precision,accuracy,tp,tn,fp,fn,esc_ratio
0.001,0.4,0.0,1.0,0.42000000000000004,0.8266666666666667,0.9393939393939394,0.7380952380952381,0.8311688311688312,31,33,11,2,0.35064935064935066
0.001,0.4,0.0,1.0,0.43000000000000005,0.8378378378378378,0.9393939393939394,0.7560975609756098,0.8441558441558441,31,34,10,2,0.35064935064935066
0.001,0.4,0.0,1.0,0.44,0.8493150684931509,0.9393939393939394,0.775,0.8571428571428571,31,35,9,2,0.35064935064935066
0.001,0.4,0.0,1.0,0.45,0.8493150684931509,0.9393939393939394,0.775,0.8571428571428571,31,35,9,2,0.35064935064935066
0.001,0.4,0.0,1.0,0.46,0.8493150684931509,0.9393939393939394,0.775,0.8571428571428571,31,35,9,2,0.35064935064935066
0.001,0.4,0.0,1.0,0.47000000000000003,0.8493150684931509,0.9393939393939394,0.775,0.8571428571428571,31,35,9,2,0.35064935064935066
0.001,0.4,0.0,1.0,0.48000000000000004,0.8493150684931509,0.9393939393939394,0.775,0.8571428571428571,31,35,9,2,0.35064935064935066
0.001,0.4,0.0,1.0,0.49,0.8611111111111112,0.9393939393939394,0.7948717948717948,0.8701298701298701,31,36,8,2,0.35064935064935066
0.001,0.4,0.0,1.0,0.5,0.8611111111111112,0.9393939393939394,0.7948717948717948,0.8701298701298701,31,36,8,2,0.35064935064935066
0.001,0.4,0.0,1.0,0.51,0.8611111111111112,0.9393939393939394,0.7948717948717948,0.8701298701298701,31,36,8,2,0.35064935064935066
0.001,0.4,0.0,1.0,0.52,0.8611111111111112,0.9393939393939394,0.7948717948717948,0.8701298701298701,31,36,8,2,0.35064935064935066
0.001,0.4,0.0,1.0,0.53,0.8611111111111112,0.9393939393939394,0.7948717948717948,0.8701298701298701,31,36,8,2,0.35064935064935066
0.001,0.4,0.0,1.0,0.54,0.8611111111111112,0.9393939393939394,0.7948717948717948,0.8701298701298701,31,36,8,2,0.35064935064935066
0.001,0.4,0.0,1.0,0.55,0.8611111111111112,0.9393939393939394,0.7948717948717948,0.8701298701298701,31,36,8,2,0.35064935064935066
0.001,0.4,0.0,1.0,0.56,0.8611111111111112,0.9393939393939394,0.7948717948717948,0.8701298701298701,31,36,8,2,0.35064935064935066
0.001,0.4,0.0,1.0,0.5700000000000001,0.8611111111111112,0.9393939393939394,0.7948717948717948,0.8701298701298701,31,36,8,2,0.35064935064935066
0.001,0.4,0.0,1.0,0.5800000000000001,0.8611111111111112,0.9393939393939394,0.7948717948717948,0.8701298701298701,31,36,8,2,0.35064935064935066
0.001,0.4,0.0,1.0,0.5900000000000001,0.8611111111111112,0.9393939393939394,0.7948717948717948,0.8701298701298701,31,36,8,2,0.35064935064935066
