ensemble_type,w_tier5,w_tier3,threshold,f1_score,recall,precision,accuracy,fp,fn
Tier5_plus_Tier3,0.4,0.6,0.38,0.8732,93.94,81.58,88.31,7,2
Tier5_plus_Tier3,0.4,0.6,0.39,0.8732,93.94,81.58,88.31,7,2
Tier5_plus_Tier3,0.4,0.6,0.4,0.8732,93.94,81.58,88.31,7,2
Tier5_plus_Tier3,0.4,0.6,0.41,0.8732,93.94,81.58,88.31,7,2
Tier5_plus_Tier3,0.4,0.6,0.42,0.8732,93.94,81.58,88.31,7,2
Tier5_plus_Tier3,0.4,0.6,0.43,0.8732,93.94,81.58,88.31,7,2
Tier5_plus_Tier3,0.4,0.6,0.44,0.8571,90.91,81.08,87.01,7,3
Tier5_plus_Tier3,0.4,0.6,0.45,0.8571,90.91,81.08,87.01,7,3
Tier5_plus_Tier3,0.4,0.6,0.46,0.8571,90.91,81.08,87.01,7,3
Tier5_plus_Tier3,0.4,0.6,0.47,0.8571,90.91,81.08,87.01,7,3
Tier5_plus_Tier3,0.4,0.6,0.48,0.8696,90.91,83.33,88.31,6,3
Tier5_plus_Tier3,0.4,0.6,0.49,0.8696,90.91,83.33,88.31,6,3
Tier5_plus_Tier3,0.4,0.6,0.5,0.8696,90.91,83.33,88.31,6,3
Tier5_plus_Tier3,0.4,0.6,0.51,0.8696,90.91,83.33,88.31,6,3
Tier5_plus_Tier3,0.4,0.6,0.52,0.8696,90.91,83.33,88.31,6,3
Tier5_plus_Tier3,0.4,0.6,0.53,0.8696,90.91,83.33,88.31,6,3
Tier5_plus_Tier3,0.4,0.6,0.54,0.8696,90.91,83.33,88.31,6,3
Tier5_plus_Tier3,0.4,0.6,0.55,0.9231,90.91,93.75,93.51,2,3
Tier5_plus_Tier3,0.4,0.6,0.56,0.9062,87.88,93.55,92.21,2,4
Tier5_plus_Tier3,0.4,0.6,0.57,0.8889,84.85,93.33,90.91,2,5
Tier5_plus_Tier3,0.4,0.6,0.58,0.8889,84.85,93.33,90.91,2,5
Tier5_plus_Tier3,0.4,0.6,0.59,0.8889,84.85,93.33,90.91,2,5
Tier5_plus_Tier3,0.4,0.6,0.6,0.9,81.82,100.0,92.21,0,6
Tier5_plus_Tier3,0.4,0.6,0.61,0.9,81.82,100.0,92.21,0,6
Tier5_plus_Tier3,0.4,0.6,0.62,0.8814,78.79,100.0,90.91,0,7
Tier5_plus_Tier3,0.4,0.6,0.63,0.8814,78.79,100.0,90.91,0,7
Tier5_plus_Tier3,0.4,0.6,0.64,0.8421,72.73,100.0,88.31,0,9
Tier5_plus_Tier3,0.4,0.6,0.65,0.8421,72.73,100.0,88.31,0,9
Tier5_plus_Tier3,0.4,0.6,0.66,0.8421,72.73,100.0,88.31,0,9
Tier5_plus_Tier3,0.4,0.6,0.67,0.8214,69.7,100.0,87.01,0,10
Tier5_plus_Tier3,0.4,0.6,0.68,0.8214,69.7,100.0,87.01,0,10
Tier5_plus_Tier3,0.4,0.6,0.69,0.8,66.67,100.0,85.71,0,11
Tier5_plus_Tier3,0.4,0.6,0.7,0.8,66.67,100.0,85.71,0,11
Tier5_plus_Tier3,0.45,0.55,0.3,0.8493,93.94,77.5,85.71,9,2
Tier5_plus_Tier3,0.45,0.55,0.31,0.8732,93.94,81.58,88.31,7,2
Tier5_plus_Tier3,0.45,0.55,0.32,0.8732,93.94,81.58,88.31,7,2
Tier5_plus_Tier3,0.45,0.55,0.33,0.8732,93.94,81.58,88.31,7,2
Tier5_plus_Tier3,0.45,0.55,0.34,0.8732,93.94,81.58,88.31,7,2
Tier5_plus_Tier3,0.45,0.55,0.35,0.8732,93.94,81.58,88.31,7,2
Tier5_plus_Tier3,0.45,0.55,0.36,0.8732,93.94,81.58,88.31,7,2
Tier5_plus_Tier3,0.45,0.55,0.37,0.8732,93.94,81.58,88.31,7,2
Tier5_plus_Tier3,0.45,0.55,0.38,0.8732,93.94,81.58,88.31,7,2
Tier5_plus_Tier3,0.45,0.55,0.39,0.8732,93.94,81.58,88.31,7,2
Tier5_plus_Tier3,0.45,0.55,0.4,0.8732,93.94,81.58,88.31,7,2
Tier5_plus_Tier3,0.45,0.55,0.41,0.8732,93.94,81.58,88.31,7,2
Tier5_plus_Tier3,0.45,0.55,0.42,0.8571,90.91,81.08,87.01,7,3
